"NUMEROPROCESSO","ANOPROCESSO","NUMEROMODALIDADE","LICITANTES","LICITANTES_VENCEDORES","NOMENATUREZA","NOMEMODALIDADE","SITUACAOLICITACAO","ESTAGIOLICITACAO","DATAPUBLICACAOHOMOLOGACAO","DATAEMISSAOEDITAL","DATAPUBLICACAOHABILITACAO","TOTALADJUDICADOLICITACAO","VALORESTIMADO","UNIDADEGESTORA","UNIDADE_GESTORA","DESCRICAOOBJETO","ESPECIFICACAOOBJETO","CARACTERISTICAOBJETO","ULTIMAATUALIZACAO","OBJETO"
"119","2022","74","ÁGUA MINERAL IGARA LTDA: 03638588000100 - Não Vencedor; MÁRCIO DO NASCIMENTO SILVA - ME: 10875828000147 - Não Vencedor; R J GONCALVES DE OLIVEIRA: 13506363000145 - Não Vencedor; JRP SANTIAGO JUNIOR ME: 22536891000138 - Vencedor; Kleber Renan Costa Oliveira: 30996426000108 - Não Vencedor; ELVSON HENRIQUE OLIVEIRA DOS SANTOS COMERCIO E MANUTENCAO DE MAQUINAS E APARELHOS DE REFRIGERACAO: 34242237000109 - Não Vencedor; DISTRIBUIDORA SEMPRE BEM LTDA: 40892270000179 - Não Vencedor; ANGELICA RAIMUNDO PESSOA E SILVA: 45346997000174 - Não Vencedor; ","JRP SANTIAGO JUNIOR ME: 22536891000138; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","25/11/2022","25/10/2022","25/11/2022","356191.6","379785.3","1","","GÊNEROS ALIMENTÍCIOS","GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.","Por Itens","27/10/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de água mineral, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"117","2022","78","SOGO TECNOLOGIA E SERVICOS LTDA: 29345698000169 - Vencedor; SFD DISTRIBUIDORA DE PRODUTOS EM GERAIS LTDA: 42524647000162 - Não Vencedor; ","SOGO TECNOLOGIA E SERVICOS LTDA: 29345698000169; ","Outros Serviços","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","03/01/2023","05/12/2022","03/01/2023","817200","1057290.83","1","","SERVIÇO DE DESENVOLVIMENTO, MANUTENÇÃO E/OU SUPORTE TÉCNICO DE SOFTWARE","SERVIÇOS DE DESENVOLVIMENTO, ATUALIZAÇÃO E ADAPTAÇÃO DE SOFTWARES, MANUTENÇÃO E SUPORTE TÉCNICO, REVISÃO, CORREÇÃO DE PROBLEMAS OPERACIONAIS, ACRÉSCIMO DE NOVAS FUNÇÕES, EXTRAÇÃO E PROCESSAMENTO DE DADOS","Por Itens","06/12/2022","Contratação de empresa especializada no fornecimento de sistema integrado de gerenciamento da informação, contemplando os fluxos processuais através dos módulos para tramitação de documentos (protocolo,  memorandos,  ofícios,  circulares, processos  administrativos,  ouvidoria)  portal  institucional  e da transparência, central de atendimento e ainda disponibilização de aplicativo mobile, para utilização pelos servidores do Município de Belo Jardim/PE, conforme especificações e quantitativos estabelecidos no Termo de Referência."
"112","2022","73","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","24/10/2022","","","1356002.14","1","","MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE ","MATERIAIS DESTINADOS A HIGIENIZAÇÃO PESSOAL, DE AMBIENTES DE TRABALHO, DE HOSPITAIS, TAIS COMO: ÁLCOOL ETÍLICO, ANTICORROSIVO, APARELHO DE BARBEAR DESCARTÁVEL, BALDE PLÁSTICO, BOMBA PARA INSETICIDA, CAPACHO, CERA, CESTO PARA LIXO, CREME DENTAL, DESINFETANTE, DESODORIZANTE, DETERGENTE, ESCOVA DE DENTE, ESCOVA PARA ROUPAS E SAPATOS, ESPANADOR, ESPONJA, ESTOPA, FLANELA, INSETICIDA, LUSTRA-MÓVEIS, MANGUEIRA, NAFTALINA, PÁ PARA LIXO, PALHA DE AÇO, PANOS PARA LIMPEZA, PAPEL HIGIÊNICO, PASTA PARA LIMPEZA DE UTENSÍLIOS, PORTA-SABÃO, REMOVEDOR, RODO, SABÃO, SABONETE, SACO PARA LIXO, SAPONÁCEO, SODA CÁUSTICA, TOALHA DE PAPEL, VASSOURA E AFINS.","Por Itens","27/10/2022"," O objeto da presente licitação é o registro de preços, centralizado, anual, para material de limpeza, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos._x000D_"
"109","2022","5","","","Outros Serviços","Dispensa","Em Andamento","Processo Instaurado","","","","","","1","","SERVIÇOS DE ORGANIZAÇÃO DE SELEÇÃO PÚBLICA OU CONCURSO PÚBLICO","CONTRATAÇÃO DE SERVIÇOS DE ORGANIZAÇÃO DE SELEÇÃO PÚBLICA OU CONCURSO PÚBLICO","Por Itens","11/11/2022","CONTRATAÇÃO DE SERVIÇOS DE ORGANIZAÇÃO DE SELEÇÃO PÚBLICA OU CONCURSO PÚBLICO"
"105","2022","72","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","22/09/2022","","","420438.6","1","","MATERIAL DE SINALIZAÇÃO URBANA OU RODOVIÁRIA","MATERIAIS PARA  SINALIZAÇÃO DE VIASURBANAS E  RODOVIÁRIAS, TAIS COMO: PLACAS, BALIZAMENTOS, CAVALETES, BÓIAS LUMINOSAS, TINTAS DE DEMARCAÇÃO, FITAS, LENTES LANTERNAS, BANDEIRAS, CONES, DETECTORES ELETROMAGNÉTICOS, SEMÁFOROS  E AFINS.","Por Itens","23/09/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de materiais de sinalização de trânsito, de acordo com as normas previstas na Lei nº 9.503, de 23 de setembro de 1997, a qual institui o Código Brasileiro ? CTB, para atender a necessidade da Secretaria de Defesa Cidadã ? SEDEC do Município de Belo Jardim-PE, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"103","2022","71","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","29/09/2022","","","4538970.74","1","","MEDICAMENTOS","MEDICAMENTOS OU COMPONENTES DESTINADOS À MANIPULAÇÃO DE DROGAS MEDICAMENTOSAS, TAIS COMO:MEDICAMENTOS, SORO, VACINAS E AFINS.","Por Itens","03/10/2022","O objeto da presente licitação é o registro de preçospara eventual aquisição de medicamentosatendendo as necessidadesda SecretariadeSaúdeconforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"102","2022","70","","","Compras","Pregão Eletrônico","Processo Deserto","Edital Publicado","","26/08/2022","","","100526.6","1","","MEDICAMENTOS","MEDICAMENTOS OU COMPONENTES DESTINADOS À MANIPULAÇÃO DE DROGAS MEDICAMENTOSAS, TAIS COMO:MEDICAMENTOS, SORO, VACINAS E AFINS.","Por Itens","16/09/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de medicamentos atendendo as necessidades da Secretaria de Saúde conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"101","2022","69","G BRAGA DOS SANTOS : 27623597000187 - Vencedor; ALYSON MATEUS FERREIRA 12349557413: 45663479000184 - Vencedor; CRISTIANO JOAO ALVES 12158535482: 47383662000151 - Vencedor; MAURO D SOARES DA SILVA FILHO: 47439739000168 - Vencedor; WILAS FERREIRA DE MOURA 13421562423: 47540924000144 - Vencedor; CICERO DE ASSIS SILVA 00030411408: 47584077000110 - Vencedor; ","G BRAGA DOS SANTOS : 27623597000187; ALYSON MATEUS FERREIRA 12349557413: 45663479000184; CRISTIANO JOAO ALVES 12158535482: 47383662000151; MAURO D SOARES DA SILVA FILHO: 47439739000168; WILAS FERREIRA DE MOURA 13421562423: 47540924000144; CICERO DE ASSIS SILVA 00030411408: 47584077000110; ","Outros Serviços","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","13/09/2022","29/08/2022","13/09/2022","420764.26","475602.09","1","","SERVIÇOS DE TRANSPORTE DE PASSAGEIROS","CONTRATAÇÃO DE VEÍCULOS COM MOTORISTA PARA TRANSPORTE DE SERVIDORES, TRANSPORTE ESCOLAR, FISCALIZAÇÃO E PARA OUTRAS FINALIDADES DA ADMINISTRAÇÃO.","Por Itens","22/09/2022","O objeto da presente licitação é a contratação de MEI e de empresa especializada na prestação de serviços de Transporte Escolar para estudantes da Rede Pública de Ensino, localizados na zona rural, para suprir as necessidades da Secretaria de Educação e Tecnologia do Município de Belo Jardim/PE e em virtude de Licitação fracassada em itens do Pregão 53/2022, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"100","2022","68","HAND SHOP SUPRIMENTOS MEDICOS & TERAPEUTICOS LTDA: 00267908000166 - Vencedor; ROSANGELA SOARES SARDINHA CORNETTA: 02605669000132 - Não Vencedor; QUICKBUM E-COMMERCE EIRELI: 30323616000164 - Não Vencedor; FAROMED COMERCIO DE MATERIAIS HOSPITALARES LTDA : 39500536000101 - Vencedor; ","HAND SHOP SUPRIMENTOS MEDICOS & TERAPEUTICOS LTDA: 00267908000166; FAROMED COMERCIO DE MATERIAIS HOSPITALARES LTDA : 39500536000101; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","21/09/2022","24/08/2022","21/09/2022","4210.7","29794.5","1","","APARELHOS, EQUIPAMENTOS MÉDICO-ODONTOLÓGICOS, HOSPITALARES E LABORATORIAIS  ","QUALQUER APARELHO, UTENSÍLIO OU EQUIPAMENTO DE USO MÉDICO, ODONTOLÓGICO, LABORATORIAL E HOSPITALAR QUE NÃO SE INTEGREM A INSTALAÇÕES, OU A OUTROS CONJUNTOS MONITORES. NO CASO DE FAZEREM PARTE DE INSTALAÇÕES OU OUTROS CONJUNTOS, DEVERÃO SER CONSIDERADOS COMPONENTES, TAIS COMO:AFASTADOR, ALARGADOR, APARELHO DE ESTERILIZAÇÃO, APARELHO DE RAIO X, APARELHO DE TRANSFUSÃO DE SANGUE, APARELHO INFRAVERMELHO, APARELHO PARA INALAÇÃO, APARELHO DE ULTRAVIOLETA, BALANÇA PEDIÁTRICA, BERÇO AQUECIDO, BIOMBO, BOTICÃO, CADEIRA DE DENTISTA, CADEIRA DE RODAS, CÂMARA DE INFRAVERMELHO, CÂMARA DE OXIGÊNIO, CÂMARA DE RADIOTERAPIA, CARRO-MACA, CENTRIFUGADOR, DESTILADOR, ELETRO-ANALISADOR, ELETROCARDIOGRÁFICO, ESTETOSCÓPIO, ESTUFA, MACA, MEDIDOR DE PRESSÃO ARTERIAL (ESFIGNOMANÔMETRO), MEGATOSCÓPIO, MESA PARA EXAMES CLÍNICOS, MICROSCÓPIO, TENDA DE OXIGÊNIO, TERMOCAUTÉRIO E AFINS.","Por Itens","29/08/2022","O objeto da presente licitação é o registro de preços para eventual Aquisição de Materiais e Equipamentos para as salas de Saúde Bucal dos postos de saúde e para o Centro de Fisioterapia do Município, atendendo a necessidade da Secretaria de Saúde conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"96","2022","66","ANTONIO FELIX DA SILVA CONSTRUCAO-ME: 11839297000108 - Não Vencedor; LUAL EMPREENDIMENTOS LTDA: 41389798000192 - Vencedor; ","LUAL EMPREENDIMENTOS LTDA: 41389798000192; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","21/09/2022","25/08/2022","21/09/2022","1287040","1303660","1","","PRAÇA, PARQUES E JARDINS","ÁREA URBANA ARBORIZADA E/OU AJARDINADA DESTINADA AO DESCANSO E LAZER","Por Itens","22/09/2022","O objeto da presente licitação é o registro de preços para eventual Aquisição de material de praça e jardins, ate ndendo a necessidade Secretaria de Infraestrutura e Urbanismo conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"95","2022","65","","","Serviços de Engenharia","Pregão Eletrônico","Em Andamento","Edital Publicado","","16/08/2022","","","6140646.6","1","","SERVIÇO","SERVIÇO","Por Lotes","19/08/2022","O objeto da presente licitação é o registro de preços para contratação de empresa especializada em serviços de pavimentação em intertravado, conforme condições quantidades e exigências estabelecidas, conforme anexos deste Instrumento Convocatório e seus anexos, ofertando a população belo-jardinense área de lazer mais adequada."
"94","2022","64","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","16/08/2022","","","800917.83","1","","MATERIAL DE SINALIZAÇÃO URBANA OU RODOVIÁRIA","MATERIAIS PARA  SINALIZAÇÃO DE VIASURBANAS E  RODOVIÁRIAS, TAIS COMO: PLACAS, BALIZAMENTOS, CAVALETES, BÓIAS LUMINOSAS, TINTAS DE DEMARCAÇÃO, FITAS, LENTES LANTERNAS, BANDEIRAS, CONES, DETECTORES ELETROMAGNÉTICOS, SEMÁFOROS  E AFINS.","Por Lotes","19/08/2022"," O objeto da presente licitação é o registro de preços para eventual aquisição de material de sinalização de trânsito horizontal e vertical, de acordo com as normas previstas na Lei nº 9.503, de 23 de setembro de 1997, a qual institui o Código Brasileiro ? CTB, para atender a necessidade da Secretaria de Defesa Cidadã ? SEDEC do Município de Belo Jardim-PE, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"93","2022","294","","","Obras","Pregão Eletrônico","Em Andamento","Edital Publicado","","16/09/2022","","","37098.5","1","","OBRAS","OBRAS","Por Lotes","19/09/2022","O objeto da presente licitação é a reforma das instalações da Secretaria de Cultura, Turismo, Esportes e Empreendedorismo, para tornar o ambiente melhor dividido com acomodações mais funcionais, propiciando a melhor otimização dos espaços disponíveis, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"93","2022","63","","","Obras","Pregão Eletrônico","Processo Revogado","Edital Publicado","","16/09/2022","","","26762.32","1","","OBRAS","OBRAS","Por Lotes","03/10/2022","O objeto da presente licitação é a reforma das instalações da Secretaria de Cultura, Turismo, Esportes e Empreendedorismo, para tornar o ambiente melhor dividido com acomodações mais funcionais, propiciando a melhor otimização dos espaços disponíveis, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"92","2022","62","","","Compras","Pregão Eletrônico","Processo Deserto","Edital Publicado","","15/08/2022","","","100526.6","1","","MEDICAMENTOS","MEDICAMENTOS OU COMPONENTES DESTINADOS À MANIPULAÇÃO DE DROGAS MEDICAMENTOSAS, TAIS COMO:MEDICAMENTOS, SORO, VACINAS E AFINS.","Por Itens","22/09/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de medicamentos atendendo as necessidades da Secretaria de Saúde conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"89","2022","61","PETROGAS LOGISTICA COMERCIAL GLP EIRELI: 11310685000270 - Vencedor; ","PETROGAS LOGISTICA COMERCIAL GLP EIRELI: 11310685000270; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","06/12/2022","10/08/2022","06/12/2022","230320","342761.75","1","","GÁS ENGARRAFADO","A AQUISIÇÃO DE GÁS ENGARRAFADO PARA DIVERSOS USOS.","Por Itens","19/08/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de materiais de consumo de GLP para atender a Prefeitura Municipal de Belo Jardim com o intuito de suprir as necessidades de suas Secretarias, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"88","2022","59","","","Compras","Pregão Eletrônico","Processo Deserto","Edital Publicado","","29/07/2022","","","21479.6","1","","MATERIAL MÉDICO-HOSPITALAR, ODONTOLÓGICO E LABORATORIAL","MATERIAIS PARA HOSPITAIS, CLÍNICAS, CONSULTÓRIOS ODONTOLÓGICOS E LABORATÓRIOS: ABAIXADORES DE LÍNGUA, AGULHAS HIPODÉRMICAS, ALGODÃO, ESPARADRAPOS, GASES, SERINGAS, SACOS PARA GELO, TERMÔMETROS, FIOS DE SUTURAS,  LUVAS CIRÚRGICAS,  MATERIAIS PENSO EM GERAL , AGULHAS, AMÁLGAMA, ANESTÉSICOS, BROCA, CIMENTO ODONTOLÓGICO, ESPÁTULA ODONTOLÓGICA, FILMES PARA RAIOS-X, PLATINA, SERINGAS, SUGADOR E AFINS. ","Por Itens","01/08/2022","O objeto da presente licitação é o registro de preços para a eventual aquisição de KITS de Primeiros Socorros para suprir as necessidades das Creches e Escolas municipais de Belo JardimPE, durante o período de 12 meses, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"86","2022","58","CONSTRUITA COMERCIO E EDIFICACOES LTDA - EPP : 05609122000101 - Não Vencedor; VALE BENTO LOCACAO E SERVICOS LTDA - EPP: 11757223000114 - Não Vencedor; THS CONSTRUTORA E INCORPORADORA LTDA: 24906430000135 - Não Vencedor; H E CONSTRUTORA E ESTRUTURAS EIRELI - ME: 27603095000194 - Não Vencedor; A. G. F. SILVA ENGENHARIA (SOUSA & SILVA ENGENHARIA): 28101039000114 - Não Vencedor; E B M DE SANTANA PRODUÇÕES: 33414068000176 - Não Vencedor; ELIAS JUNIOR DA SILVA: 36106032000113 - Não Vencedor; L2 ARQUITETURA, CONSTRUÇÕES E SERVIÇOS LTDA: 40185558000103 - Não Vencedor; LUAL ENGENHARIA E SERVIÇOS LTDA: 40354666000162 - Não Vencedor; A&A CONSTRUTORA LTDA: 43886652000188 - Não Vencedor; ","","Outros Serviços","Pregão Eletrônico","Processo Fracassado","Licitantes Cadastrados","","22/07/2022","","","4047022.69","1","","SERVIÇO","SERVIÇO","Por Lotes","26/07/2022","O objeto da presente licitação é o registro de preços para eventual contratação de empresa especializada em serviços de pavimentação em intertravado, conforme condições quantidades e exigências estabelecidas, conforme anexos deste Instrumento Convocatório e seus anexos, ofertando a população belo-jardinense área de lazer mais adequada."
"85","2022","57","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","22/07/2022","","","283815.76","1","","APARELHOS, EQUIPAMENTOS MÉDICO-ODONTOLÓGICOS, HOSPITALARES E LABORATORIAIS  ","QUALQUER APARELHO, UTENSÍLIO OU EQUIPAMENTO DE USO MÉDICO, ODONTOLÓGICO, LABORATORIAL E HOSPITALAR QUE NÃO SE INTEGREM A INSTALAÇÕES, OU A OUTROS CONJUNTOS MONITORES. NO CASO DE FAZEREM PARTE DE INSTALAÇÕES OU OUTROS CONJUNTOS, DEVERÃO SER CONSIDERADOS COMPONENTES, TAIS COMO:AFASTADOR, ALARGADOR, APARELHO DE ESTERILIZAÇÃO, APARELHO DE RAIO X, APARELHO DE TRANSFUSÃO DE SANGUE, APARELHO INFRAVERMELHO, APARELHO PARA INALAÇÃO, APARELHO DE ULTRAVIOLETA, BALANÇA PEDIÁTRICA, BERÇO AQUECIDO, BIOMBO, BOTICÃO, CADEIRA DE DENTISTA, CADEIRA DE RODAS, CÂMARA DE INFRAVERMELHO, CÂMARA DE OXIGÊNIO, CÂMARA DE RADIOTERAPIA, CARRO-MACA, CENTRIFUGADOR, DESTILADOR, ELETRO-ANALISADOR, ELETROCARDIOGRÁFICO, ESTETOSCÓPIO, ESTUFA, MACA, MEDIDOR DE PRESSÃO ARTERIAL (ESFIGNOMANÔMETRO), MEGATOSCÓPIO, MESA PARA EXAMES CLÍNICOS, MICROSCÓPIO, TENDA DE OXIGÊNIO, TERMOCAUTÉRIO E AFINS.","Por Itens","22/07/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de materiais e equipamentos hospitalares, atendendo a necessidade da Secretaria de Saúde conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"83","2022","56","","","Locação de Bens","Pregão Eletrônico","Em Andamento","Edital Publicado","","28/07/2022","","","462888.9","1","","SISTEMA DE MONITORAMENTO / RASTREAMENTO DE VEÍCULOS","SERVIÇOS DE MONITORAMENTO DE VEÍCULOS, ATRAVÉS DE RASTREAMENTO 24 HORAS, VIA INTERNET OU SATÉLITE, PARA A LOCALIZACAO, CONTROLE DE QUILOMETRAGEM, ESTABELECIMENTO DE ROTAS E BLOQUEIO DO VEICULO E  AFINS.","Por Itens","29/07/2022","A presente licitação tem por objeto a contratação de empresa especializada na locação e manutenção de equipamentos de CFTV, vídeo monitoramento veicular e sistema de GPS, durante o período de 12 (doze) meses, conforme especificações e quantitativos estabelecidos no Termo de Referência."
"82","2022","55","HOTEL LACAZZONA LTDA: 00230567000154 - Vencedor; DISTRIBUIDORA DE ALIMENTOS CAVALCANTI EIRELI - EPP: 06536960000157 - Vencedor; GILDETE GALINDO CORDEIRO DE MELO 75512580434: 19643590000107 - Não Vencedor; S VASCONCELOS ROSAS : 40457662000100 - Não Vencedor; ","HOTEL LACAZZONA LTDA: 00230567000154; DISTRIBUIDORA DE ALIMENTOS CAVALCANTI EIRELI - EPP: 06536960000157; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","07/07/2022","27/06/2022","07/07/2022","652008.75","704359.23","1","","FORNECIMENTO DE REFEIÇÕES PREPARADAS","AQUISIÇÃO DE REFEIÇÕES PREPARADAS, INCLUSIVE LANCHES E SIMILARES.","Por Itens","29/06/2022","O objeto da presente licitação é aquisição de alimentação para suprir as necessidades da Secretarias do Município de Belo Jardim, para atender pessoal nos eventos realizados, durante o período de 12 meses, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"81","2022","16","JOSÉ JOÃO RIBEIRO : ***.***.654-34 - Vencedor; ","JOSÉ JOÃO RIBEIRO : ***.***.654-34; ","Locação de Bens","Inexigibilidade","Concluído","Processo Adjudicado / Homologado / Ratificado","05/08/2022","05/08/2022","","25200","25200","1","","LOCAÇÃO DE IMÓVEIS","REMUNERAÇÃO DE SERVIÇOS DE ALUGUEL DE PRÉDIOS, SALAS E OUTROS IMÓVEIS. ","Por Itens","30/01/2023","Locação de imóvel localizado na Rua Geminiano Maciel, N° 525, Bairro Boa Vista, Belo Jardim- PE, CEP 55157-010, onde funcionará a CASA DE ACOLHIMENTO LAR DE NIKOLAS"
"80","2022","54","BMB CONSTRUCOES E COMERCIAL DO ANIL EIRELI: 04191294000137 - Vencedor; TFPM COMERCIO DE ARTIGOS DE ILUMINACAO LTDA: 07270992000116 - Não Vencedor; EZ TECHS IMPORTADORA, EXPORTADORA E REPRESENTAÇÕES EIRELI: 09473928000168 - Não Vencedor; LEDLUXE INDUSTRIA COMERCIO IMPORTACAO E EXPORT EIR: 11178569000168 - Não Vencedor; ANTONIO FELIX DA SILVA CONSTRUCAO-ME: 11839297000108 - Não Vencedor; LB COMERCIO DE FERRAGENS EIRELI EPP: 20470692000149 - Não Vencedor; LG COMÉRCIO E SERVIÇO DE FORRO E DIVISÓRIAS LTDA - ME: 20626934000140 - Não Vencedor; EFICILUX COMÉRCIO E SERVIÇO DE EQUIPAMENTOS ELÉTRICOS LTDA - EPP: 26503796000199 - Não Vencedor; S D DE A FERREIRA CIA DISTRIBUIDORA LTDA: 26889181000142 - Não Vencedor; MAHINA SOLUTIONS EM ILUMINACOES LTDA: 28470660000155 - Não Vencedor; GYN LED INDUSTRIA E COMERCIO LTDA: 29613043000124 - Não Vencedor; VDR AUTOMACAO INDUSTRIAL EIRELI: 31506621000175 - Não Vencedor; KLUX COMERCIO E ENGENHARIA EIRELI: 35678429000117 - Não Vencedor; PARANAÍBA REDE ELÉTRICA LTDA: 40854018000175 - Não Vencedor; LUAL EMPREENDIMENTOS LTDA: 41389798000192 - Não Vencedor; JAN SANTOS MARINHO DE CARVALHO 08574787450 : 43404679000197 - Não Vencedor; RRA COMERCIO ELETRO FONIA LTDA: 44307153000151 - Não Vencedor; ATRIUM INDUSTRIA E COMÉRCIO DE FERRAGENS LTDA - EPP: 46423434000103 - Não Vencedor; LUIZ VINICIUS DE LIMA ALMEIDA 12386903435: 46629743000126 - Não Vencedor; VOGLIO IMPORTADORA, EXPORTADORA E REPRESENTACOES LTDA. : 47171447000197 - Não Vencedor; ","BMB CONSTRUCOES E COMERCIAL DO ANIL EIRELI: 04191294000137; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","16/08/2022","25/07/2022","16/08/2022","572616","1264397","1","","CONSUMO","CONSUMO","Por Itens","15/07/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de materiais de consumo para instalação de iluminação pública, atendendo a necessidade Secretaria de Obras conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
